userId,partNo
4,10629
4,10353
4,10771
4,10492
4,10099
4,10169
4,10293
4,10505
4,10646
4,10026
4,10183
4,10528
5,10292
5,10210
5,10276
5,10238
5,10783
5,10329
5,10724
5,10648
5,10306
5,10648
5,10557
5,10230
5,10085
5,10347
7,10570
7,10783
7,10072
7,10736
7,10760
7,10147
7,10396
7,10552
7,10279
7,10667
7,10223
7,10468
7,10592
7,10066
7,10722
7,10386
7,10290
7,10359
7,10398
7,10391
7,10022
7,10245
7,10016
7,10394
7,10420
7,10631
7,10269
7,10635
7,10625
7,10383
7,10536
7,10716
7,10590
7,10109
7,10405
7,10562
7,10214
7,10162
7,10235
7,10621
7,10552
7,10570
7,10521
7,10110
7,10213
7,10007
7,10402
7,10621
7,10092
14,10709
14,10779
14,10558
14,10768
14,10267
14,10612
14,10360
14,10533
15,10115
15,10219
15,10258
15,10385
15,10792
15,10202
15,10421
15,10577
15,10527
15,10318
15,10623
15,10008
15,10036
15,10408
15,10754
15,10687
15,10308
15,10127
15,10328
15,10016
15,10722
15,10214
15,10295
15,10329
15,10556
15,10501
15,10381
15,10082
15,10024
15,10235
15,10394
15,10728
15,10220
16,10356
16,10473
16,10682
16,10352
16,10519
16,10166
16,10256
16,10321
16,10000
16,10429
16,10731
17,10235
17,10011
17,10017
17,10343
17,10260
17,10224
17,10020
17,10428
17,10155
17,10326
17,10308
17,10761
17,10769
17,10623
17,10039
17,10012
17,10185
17,10769
17,10719
17,10034
17,10557
17,10195
17,10165
17,10390
17,10132
17,10603
17,10066
17,10179
17,10752
17,10758
17,10005
18,10247
18,10146
18,10137
18,10307
18,10322
18,10185
18,10110
18,10727
18,10687
18,10550
18,10042
18,10555
18,10582
18,10035
18,10059
18,10247
18,10733
18,10504
18,10368
18,10477
18,10486
18,10582
18,10794
18,10022
18,10415
18,10025
18,10171
18,10175
18,10384
18,10622
18,10206
18,10433
18,10313
18,10035
18,10753
18,10366
18,10071
18,10799
18,10660
18,10465
18,10525
18,10526
18,10094
18,10356
18,10280
18,10142
21,10410
21,10071
21,10271
21,10362
21,10676
21,10475
21,10178
21,10420
21,10261
21,10184
21,10230
21,10109
21,10151
21,10140
21,10697
21,10468
21,10200
21,10126
21,10531
21,10082
21,10275
21,10019
21,10193
21,10779
21,10413
21,10714
21,10310
21,10180
21,10745
21,10785
21,10325
21,10411
21,10212
21,10377
21,10708
21,10668
21,10737
21,10029
21,10733
22,10595
22,10250
22,10292
22,10327
22,10370
22,10108
22,10487
22,10177
22,10631
22,10413
22,10621
22,10163
22,10374
22,10229
22,10366
22,10000
22,10505
22,10437
22,10197
22,10571
22,10467
22,10797
22,10714
22,10527
22,10679
22,10171
22,10763
22,10164
22,10101
22,10659
22,10193
22,10197
22,10423
22,10375
22,10786
22,10269
22,10553
22,10268
22,10676
22,10273
22,10126
22,10696
22,10111
22,10353
22,10554
22,10179
22,10706
22,10706
22,10295
22,10717
23,10096
23,10553
23,10750
23,10467
23,10194
23,10024
23,10635
23,10394
23,10382
23,10176
23,10591
23,10725
23,10144
23,10607
23,10680
23,10528
23,10205
23,10685
23,10750
23,10580
23,10267
23,10635
24,10312
24,10558
24,10707
24,10583
24,10616
24,10096
24,10118
24,10126
24,10632
24,10230
24,10022
24,10049
24,10342
24,10612
24,10775
24,10082
24,10161
24,10325
24,10666
24,10302
24,10793
24,10514
24,10490
24,10277
24,10202
24,10176
24,10454
24,10755
24,10167
24,10638
24,10622
24,10319
24,10218
24,10141
24,10035
24,10794
24,10436
24,10270
24,10432
24,10387
24,10678
24,10734
24,10098
27,10448
27,10721
27,10478
27,10551
27,10516
27,10626
27,10494
27,10296
27,10099
27,10727
27,10326
27,10018
27,10331
27,10769
27,10204
27,10302
27,10231
27,10144
27,10280
27,10232
27,10744
27,10166
27,10143
27,10165
27,10529
27,10149
27,10199
27,10324
27,10549
27,10539
28,10306
28,10377
28,10126
28,10323
28,10214
28,10479
28,10150
28,10251
28,10363
28,10418
28,10446
28,10411
28,10071
28,10061
28,10773
28,10594
28,10567
28,10171
28,10682
28,10646
28,10286
28,10296
28,10414
28,10312
28,10180
28,10246
28,10217
28,10585
28,10659
28,10403
28,10683
28,10644
28,10462
28,10371
28,10327
28,10192
28,10688
28,10202
28,10317
28,10225
28,10158
28,10436
28,10028
30,10317
30,10601
30,10503
30,10564
30,10563
30,10615
30,10479
30,10788
30,10482
30,10056
30,10018
30,10234
30,10198
30,10643
30,10249
30,10395
31,10064
31,10252
31,10008
31,10075
31,10228
31,10627
31,10131
31,10191
